,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
0,Calories,630,WHOPPER® Sandwich,Beef & Pork,BurgerKing
1, Protein (g),25,WHOPPER® Sandwich,Beef & Pork,BurgerKing
2, Total Fat (g),35,WHOPPER® Sandwich,Beef & Pork,BurgerKing
3,Total Carbs (g),57,WHOPPER® Sandwich,Beef & Pork,BurgerKing
4,Sodium (mg),980,WHOPPER® Sandwich,Beef & Pork,BurgerKing
5,Calories from Fat,320,WHOPPER® Sandwich,Beef & Pork,BurgerKing
6,Saturated Fat (g),10,WHOPPER® Sandwich,Beef & Pork,BurgerKing
7,Trans Fat (g),1,WHOPPER® Sandwich,Beef & Pork,BurgerKing
8,Cholesterol (mg),65,WHOPPER® Sandwich,Beef & Pork,BurgerKing
9,Fiber (g),3,WHOPPER® Sandwich,Beef & Pork,BurgerKing
10,Sugars (g),13,WHOPPER® Sandwich,Beef & Pork,BurgerKing
11,Calories,470,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
12, Protein (g),25,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
13, Total Fat (g),17,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
14,Total Carbs (g),57,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
15,Sodium (mg),840,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
16,Calories from Fat,160,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
17,Saturated Fat (g),7,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
18,Trans Fat (g),0,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
19,Cholesterol (mg),55,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
20,Fiber (g),3,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
21,Sugars (g),13,WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
22,Calories,710,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
23, Protein (g),29,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
24, Total Fat (g),42,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
25,Total Carbs (g),59,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
26,Sodium (mg),"1,380",WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
27,Calories from Fat,380,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
28,Saturated Fat (g),15,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
29,Trans Fat (g),1,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
30,Cholesterol (mg),85,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
31,Fiber (g),3,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
32,Sugars (g),14,WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
33,Calories,560,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
34, Protein (g),29,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
35, Total Fat (g),24,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
36,Total Carbs (g),58,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
37,Sodium (mg),"1,240",WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
38,Calories from Fat,220,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
39,Saturated Fat (g),12,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
40,Trans Fat (g),1,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
41,Cholesterol (mg),75,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
42,Fiber (g),3,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
43,Sugars (g),14,WHOPPER® Sandwich with Cheese w/o Mayo,Beef & Pork,BurgerKing
44,Calories,830,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
45, Protein (g),42,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
46, Total Fat (g),50,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
47,Total Carbs (g),57,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
48,Sodium (mg),"1,040",DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
49,Calories from Fat,450,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
50,Saturated Fat (g),17,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
51,Trans Fat (g),1,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
52,Cholesterol (mg),120,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
53,Fiber (g),3,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
54,Sugars (g),13,DOUBLE WHOPPER® Sandwich,Beef & Pork,BurgerKing
55,Calories,670,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
56, Protein (g),41,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
57, Total Fat (g),32,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
58,Total Carbs (g),57,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
59,Sodium (mg),900,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
60,Calories from Fat,290,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
61,Saturated Fat (g),14,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
62,Trans Fat (g),1,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
63,Cholesterol (mg),110,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
64,Fiber (g),3,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
65,Sugars (g),13,DOUBLE WHOPPER® Sandwich w/o Mayo,Beef & Pork,BurgerKing
66,Calories,990,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
67, Protein (g),52,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
68, Total Fat (g),65,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
69,Total Carbs (g),53,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
70,Sodium (mg),"1,480",DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
71,Calories from Fat,580,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
72,Saturated Fat (g),24,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
73,Trans Fat (g),2,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
74,Cholesterol (mg),160,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
75,Fiber (g),3,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
76,Sugars (g),11,DOUBLE WHOPPER® Sandwich with Cheese,Beef & Pork,BurgerKing
77,Calories,830,DOUBLE WHOPPER® Sandwich with Cheesew/o Mayo,Beef & Pork,BurgerKing
78, Protein (g),52,DOUBLE WHOPPER® Sandwich with Cheesew/o Mayo,Beef & Pork,BurgerKing
