,Unnamed: 0,index,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
0,0,0,Calories,460.0,Cinnamon Melts,Desserts,McDonald
1,1,1,Calories from Fat,170.0,Cinnamon Melts,Desserts,McDonald
2,2,2,Total Fat (g),19.0,Cinnamon Melts,Desserts,McDonald
3,3,3,Saturated Fat (g),9.0,Cinnamon Melts,Desserts,McDonald
4,4,4,Trans Fat (g),0.0,Cinnamon Melts,Desserts,McDonald
5,5,5,Cholesterol (mg),15.0,Cinnamon Melts,Desserts,McDonald
6,6,6,Sodium (mg),370.0,Cinnamon Melts,Desserts,McDonald
7,7,7,Total Carbs (g),66.0,Cinnamon Melts,Desserts,McDonald
8,8,8,Fiber (g),3.0,Cinnamon Melts,Desserts,McDonald
9,9,9,Sugars (g),32.0,Cinnamon Melts,Desserts,McDonald
10,10,10,Protein (g),6.0,Cinnamon Melts,Desserts,McDonald
11,11,0,Calories,290.0,Fruit & Maple Oatmeal,Desserts,McDonald
12,12,1,Calories from Fat,35.0,Fruit & Maple Oatmeal,Desserts,McDonald
13,13,2,Total Fat (g),4.0,Fruit & Maple Oatmeal,Desserts,McDonald
14,14,3,Saturated Fat (g),1.5,Fruit & Maple Oatmeal,Desserts,McDonald
15,15,4,Trans Fat (g),0.0,Fruit & Maple Oatmeal,Desserts,McDonald
16,16,5,Cholesterol (mg),5.0,Fruit & Maple Oatmeal,Desserts,McDonald
17,17,6,Sodium (mg),160.0,Fruit & Maple Oatmeal,Desserts,McDonald
18,18,7,Total Carbs (g),58.0,Fruit & Maple Oatmeal,Desserts,McDonald
19,19,8,Fiber (g),5.0,Fruit & Maple Oatmeal,Desserts,McDonald
20,20,9,Sugars (g),32.0,Fruit & Maple Oatmeal,Desserts,McDonald
21,21,10,Protein (g),5.0,Fruit & Maple Oatmeal,Desserts,McDonald
22,22,0,Calories,260.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
23,23,1,Calories from Fat,40.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
24,24,2,Total Fat (g),4.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
25,25,3,Saturated Fat (g),1.5,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
26,26,4,Trans Fat (g),0.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
27,27,5,Cholesterol (mg),5.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
28,28,6,Sodium (mg),115.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
29,29,7,Total Carbs (g),49.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
30,30,8,Fiber (g),5.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
31,31,9,Sugars (g),18.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
32,32,10,Protein (g),5.0,Fruit & Maple Oatmeal without Brown Sugar,Desserts,McDonald
33,33,0,Calories,530.0,Big Mac,Beef & Pork,McDonald
34,34,1,Calories from Fat,240.0,Big Mac,Beef & Pork,McDonald
35,35,2,Total Fat (g),27.0,Big Mac,Beef & Pork,McDonald
36,36,3,Saturated Fat (g),10.0,Big Mac,Beef & Pork,McDonald
37,37,4,Trans Fat (g),1.0,Big Mac,Beef & Pork,McDonald
38,38,5,Cholesterol (mg),85.0,Big Mac,Beef & Pork,McDonald
39,39,6,Sodium (mg),960.0,Big Mac,Beef & Pork,McDonald
40,40,7,Total Carbs (g),47.0,Big Mac,Beef & Pork,McDonald
41,41,8,Fiber (g),3.0,Big Mac,Beef & Pork,McDonald
42,42,9,Sugars (g),9.0,Big Mac,Beef & Pork,McDonald
43,43,10,Protein (g),24.0,Big Mac,Beef & Pork,McDonald
44,44,0,Calories,520.0,Quarter Pounder with Cheese,Beef & Pork,McDonald
45,45,1,Calories from Fat,240.0,Quarter Pounder with Cheese,Beef & Pork,McDonald
46,46,2,Total Fat (g),26.0,Quarter Pounder with Cheese,Beef & Pork,McDonald
