,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
0,Calories,260,Cinnabon Delights – 4 Pack,Desserts,TacoBell
1, Protein (g),3,Cinnabon Delights – 4 Pack,Desserts,TacoBell
2, Total Fat (g),15.0,Cinnabon Delights – 4 Pack,Desserts,TacoBell
3,Total Carbs (g),28,Cinnabon Delights – 4 Pack,Desserts,TacoBell
4,Sodium (mg),130,Cinnabon Delights – 4 Pack,Desserts,TacoBell
5,Calories from Fat,130,Cinnabon Delights – 4 Pack,Desserts,TacoBell
6,Saturated Fat (g),3.5,Cinnabon Delights – 4 Pack,Desserts,TacoBell
7,Trans Fat (g),0.0,Cinnabon Delights – 4 Pack,Desserts,TacoBell
8,Cholesterol (mg),10,Cinnabon Delights – 4 Pack,Desserts,TacoBell
9,Fiber (g),1,Cinnabon Delights – 4 Pack,Desserts,TacoBell
10,Sugars (g),16,Cinnabon Delights – 4 Pack,Desserts,TacoBell
11,Calories,440,Bacon & Egg Burrito,Beef & Pork,TacoBell
12, Protein (g),20,Bacon & Egg Burrito,Beef & Pork,TacoBell
13, Total Fat (g),24.0,Bacon & Egg Burrito,Beef & Pork,TacoBell
14,Total Carbs (g),37,Bacon & Egg Burrito,Beef & Pork,TacoBell
15,Sodium (mg),990,Bacon & Egg Burrito,Beef & Pork,TacoBell
16,Calories from Fat,210,Bacon & Egg Burrito,Beef & Pork,TacoBell
17,Saturated Fat (g),8.0,Bacon & Egg Burrito,Beef & Pork,TacoBell
18,Trans Fat (g),0.0,Bacon & Egg Burrito,Beef & Pork,TacoBell
19,Cholesterol (mg),195,Bacon & Egg Burrito,Beef & Pork,TacoBell
20,Fiber (g),3,Bacon & Egg Burrito,Beef & Pork,TacoBell
21,Sugars (g),3,Bacon & Egg Burrito,Beef & Pork,TacoBell
22,Calories,520,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
23, Protein (g),19,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
24, Total Fat (g),21.0,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
25,Total Carbs (g),65,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
26,Sodium (mg),1280,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
27,Calories from Fat,190,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
28,Saturated Fat (g),8.0,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
29,Trans Fat (g),0.0,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
30,Cholesterol (mg),30,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
31,Fiber (g),8,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
32,Sugars (g),5,Beefy 5-Layer Burrito,Beef & Pork,TacoBell
33,Calories,390,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
34, Protein (g),20,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
35, Total Fat (g),12.0,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
36,Total Carbs (g),51,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
37,Sodium (mg),1080,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
38,Calories from Fat,110,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
39,Saturated Fat (g),5.0,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
40,Trans Fat (g),0.0,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
41,Cholesterol (mg),40,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
42,Fiber (g),6,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
43,Sugars (g),4,Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
44,Calories,400,Burrito Supreme® – Steak,Beef & Pork,TacoBell
45, Protein (g),20,Burrito Supreme® – Steak,Beef & Pork,TacoBell
46, Total Fat (g),13.0,Burrito Supreme® – Steak,Beef & Pork,TacoBell
47,Total Carbs (g),51,Burrito Supreme® – Steak,Beef & Pork,TacoBell
48,Sodium (mg),1050,Burrito Supreme® – Steak,Beef & Pork,TacoBell
49,Calories from Fat,120,Burrito Supreme® – Steak,Beef & Pork,TacoBell
50,Saturated Fat (g),5.0,Burrito Supreme® – Steak,Beef & Pork,TacoBell
51,Trans Fat (g),0.0,Burrito Supreme® – Steak,Beef & Pork,TacoBell
