,Unnamed: 0,Componenti,Prodotto,Valori nutrizionali,Categoria,Fast_Food
0,0,Calories,Apple Pecan Chicken Salad ,350,Salads,Wendys
1,1, Protein (g),Apple Pecan Chicken Salad ,35,Salads,Wendys
2,2, Total Fat (g),Apple Pecan Chicken Salad ,11,Salads,Wendys
3,3,Total Carbs (g),Apple Pecan Chicken Salad ,27,Salads,Wendys
4,4,Sodium (mg),Apple Pecan Chicken Salad ,970,Salads,Wendys
5,5,Saturated Fat (g),Apple Pecan Chicken Salad ,7,Salads,Wendys
6,6,Trans Fat (g),Apple Pecan Chicken Salad ,0,Salads,Wendys
7,7,Cholesterol (mg),Apple Pecan Chicken Salad ,115,Salads,Wendys
8,8,Fiber (g),Apple Pecan Chicken Salad ,5,Salads,Wendys
9,9,Sugars (g),Apple Pecan Chicken Salad ,17,Salads,Wendys
10,10,Calories,Apple Pecan Chicken Salad Half-Size ,180,Salads,Wendys
11,11, Protein (g),Apple Pecan Chicken Salad Half-Size ,18,Salads,Wendys
12,12, Total Fat (g),Apple Pecan Chicken Salad Half-Size ,6,Salads,Wendys
13,13,Total Carbs (g),Apple Pecan Chicken Salad Half-Size ,14,Salads,Wendys
14,14,Sodium (mg),Apple Pecan Chicken Salad Half-Size ,490,Salads,Wendys
15,15,Saturated Fat (g),Apple Pecan Chicken Salad Half-Size ,4,Salads,Wendys
16,16,Trans Fat (g),Apple Pecan Chicken Salad Half-Size ,0,Salads,Wendys
17,17,Cholesterol (mg),Apple Pecan Chicken Salad Half-Size ,55,Salads,Wendys
18,18,Fiber (g),Apple Pecan Chicken Salad Half-Size ,3,Salads,Wendys
19,19,Sugars (g),Apple Pecan Chicken Salad Half-Size ,9,Salads,Wendys
20,20,Calories,Roasted Pecans,110,Salads,Wendys
21,21, Protein (g),Roasted Pecans,1,Salads,Wendys
22,22, Total Fat (g),Roasted Pecans,9,Salads,Wendys
23,23,Total Carbs (g),Roasted Pecans,6,Salads,Wendys
24,24,Sodium (mg),Roasted Pecans,60,Salads,Wendys
25,25,Saturated Fat (g),Roasted Pecans,1,Salads,Wendys
26,26,Trans Fat (g),Roasted Pecans,0,Salads,Wendys
27,27,Cholesterol (mg),Roasted Pecans,0,Salads,Wendys
28,28,Fiber (g),Roasted Pecans,1,Salads,Wendys
29,29,Sugars (g),Roasted Pecans,4,Salads,Wendys
30,30,Calories,Baja Chili Salad,530,Salads,Wendys
31,31, Protein (g),Baja Chili Salad,32,Salads,Wendys
32,32, Total Fat (g),Baja Chili Salad,31,Salads,Wendys
33,33,Total Carbs (g),Baja Chili Salad,34,Salads,Wendys
34,34,Sodium (mg),Baja Chili Salad,1580,Salads,Wendys
35,35,Saturated Fat (g),Baja Chili Salad,14,Salads,Wendys
36,36,Trans Fat (g),Baja Chili Salad,1,Salads,Wendys
37,37,Cholesterol (mg),Baja Chili Salad,90,Salads,Wendys
38,38,Fiber (g),Baja Chili Salad,13,Salads,Wendys
39,39,Sugars (g),Baja Chili Salad,10,Salads,Wendys
40,40,Calories,Baja Chili Salad Half-Size,280,Salads,Wendys
41,41, Protein (g),Baja Chili Salad Half-Size,16,Salads,Wendys
42,42, Total Fat (g),Baja Chili Salad Half-Size,16,Salads,Wendys
43,43,Total Carbs (g),Baja Chili Salad Half-Size,18,Salads,Wendys
44,44,Sodium (mg),Baja Chili Salad Half-Size,820,Salads,Wendys
45,45,Saturated Fat (g),Baja Chili Salad Half-Size,7,Salads,Wendys
46,46,Trans Fat (g),Baja Chili Salad Half-Size,0,Salads,Wendys
47,47,Cholesterol (mg),Baja Chili Salad Half-Size,45,Salads,Wendys
48,48,Fiber (g),Baja Chili Salad Half-Size,7,Salads,Wendys
49,49,Sugars (g),Baja Chili Salad Half-Size,6,Salads,Wendys
50,50,Calories,Seasoned Tortilla Strips,80,Snacks & Sides,Wendys
51,51, Protein (g),Seasoned Tortilla Strips,1,Snacks & Sides,Wendys
52,52, Total Fat (g),Seasoned Tortilla Strips,5,Snacks & Sides,Wendys
53,53,Total Carbs (g),Seasoned Tortilla Strips,11,Snacks & Sides,Wendys
54,54,Sodium (mg),Seasoned Tortilla Strips,105,Snacks & Sides,Wendys
