"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"NA";"WHOPPER® Sandwich";"Beef & Pork";56;35;107;57;13;25;2,3;56,5;7,1;25,3;34,7;44,6
"NA.1";"WHOPPER® Sandwich w/o Mayo";"Beef & Pork";41;17;98;57;13;25;1,7;27,4;6,5;25,3;34,7;44,6
"NA.2";"WHOPPER® Sandwich with Cheese";"Beef & Pork";62;42;20;59;14;29;2,6;67,7;1,3;26,2;37,3;51,8
"NA.3";"WHOPPER® Sandwich with Cheese w/o Mayo";"Beef & Pork";50;24;11;58;14;29;2,1;38,7;0,7;25,8;37,3;51,8
"NA.4";"DOUBLE WHOPPER® Sandwich";"Beef & Pork";70;50;5;57;13;42;2,9;80,6;0,3;25,3;34,7;75
"NA.5";"DOUBLE WHOPPER® Sandwich w/o Mayo";"Beef & Pork";59;32;100;57;13;41;2,5;51,6;6,7;25,3;34,7;73,2
"NA.6";"DOUBLE WHOPPER® Sandwich with Cheese";"Beef & Pork";76;65;24;53;11;52;3,2;104,8;1,6;23,6;29,3;92,9
"NA.7";"DOUBLE WHOPPER® Sandwich with Cheesew/o Mayo";"Beef & Pork";70;47;17;53;11;52;2,9;75,8;1,1;23,6;29,3;92,9
"NA.8";"TRIPLE WHOPPER® Sandwich";"Beef & Pork";3;65;7;57;13;58;0,1;104,8;0,5;25,3;34,7;103,6
"NA.9";"TRIPLE WHOPPER® Sandwich w/o Mayo";"Beef & Pork";71;47;105;57;13;58;3;75,8;7;25,3;34,7;103,6
"NA.10";"Texas DOUBLE WHOPPER® Sandwich";"Beef & Pork";2;66;35;55;11;52;0,1;106,5;2,3;24,4;29,3;92,9
"NA.11";"WHOPPER JR.® Sandwich";"Beef & Pork";28;19;76;28;6;14;1,2;30,6;5,1;12,4;16;25
"NA.12";"WHOPPER JR.® Sandwich w/o Mayo";"Beef & Pork";20;10;70;28;6;13;0,8;16,1;4,7;12,4;16;23,2
"NA.13";"WHOPPER JR.® Sandwich with Cheese";"Beef & Pork";32;23;90;29;6;16;1,3;37,1;6;12,9;16;28,6
"NA.14";"WHOPPER JR.® Sandwich with Cheese w/o Mayo";"Beef & Pork";24;14;88;660;6;16;1;22,6;5,9;293,3;16;28,6
"NA.15";"Hamburger";"Beef & Pork";17;8;71;31;7;12;0,7;12,9;4,7;13,8;18,7;21,4
"NA.16";"Cheeseburger";"Beef & Pork";22;12;86;32;7;15;0,9;19,4;5,7;14,2;18,7;26,8
"NA.17";"Double Hamburger";"Beef & Pork";27;15;73;31;7;19;1,1;24,2;4,9;13,8;18,7;33,9
"NA.18";"Double Cheeseburger";"Beef & Pork";31;18;89;32;7;22;1,3;29;5,9;14,2;18,7;39,3
"NA.19";"BK® Bacon Burger";"Beef & Pork";26;17;75;31;7;14;1,1;27,4;5;13,8;18,7;25
"NA.20";"Bacon Cheeseburger";"Beef & Pork";25;14;94;32;7;17;1;22,6;6,3;14,2;18,7;30,4
"NA.21";"Double Bacon Cheeseburger";"Beef & Pork";38;24;103;32;7;26;1,6;38,7;6,9;14,2;18,7;46,4
"NA.22";"BK® Single Stacker";"Beef & Pork";31;21;86;32;7;16;1,3;33,9;5,7;14,2;18,7;28,6
"NA.23";"BK® Double Stacker";"Beef & Pork";43;30;96;32;7;26;1,8;48,4;6,4;14,2;18,7;46,4
"NA.24";"BK® Triple Stacker";"Beef & Pork";56;41;5;32;7;36;2,3;66,1;0,3;14,2;18,7;64,3
"NA.25";"BK® Quad Stacker";"Beef & Pork";66;51;14;33;8;46;2,8;82,3;0,9;14,7;21,3;82,1
"NA.26";"Premium Chicken Sandwich- Grilled";"Chicken & Fish";45;22;18;43;6;31;1,9;35,5;1,2;19,1;16;55,4
"NA.27";"Premium Chicken Sandwich- Grilled w/o Mayo";"Chicken & Fish";34;11;13;43;5;31;1,4;17,7;0,9;19,1;13,3;55,4
"NA.28";"Premium Chicken Sandwich- Crispy";"Chicken & Fish";65;45;28;58;8;30;2,7;72,6;1,9;25,8;21,3;53,6
