,Item Name,Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
0,WHOPPER® Sandwich,630,25,35,57,980,320,10,1,65,3,13,125,Whopper
1,WHOPPER® Sandwich w/o Mayo,470,25,17,57,840,160,7,0,55,3,13,108,Whopper
2,WHOPPER® Sandwich with Cheese,710,29,42,59,1380,380,15,1,85,3,14,169,Whopper
3,WHOPPER® Sandwich with Cheese w/o Mayo,560,29,24,58,1240,220,12,1,75,3,14,152,Whopper
4,DOUBLE WHOPPER® Sandwich,830,42,50,57,1040,450,17,1,120,3,13,133,Whopper
5,DOUBLE WHOPPER® Sandwich w/o Mayo,670,41,32,57,900,290,14,1,110,3,13,116,Whopper
6,DOUBLE WHOPPER® Sandwich with Cheese,990,52,65,53,1480,580,24,2,160,3,11,181,Whopper
7,DOUBLE WHOPPER® Sandwich with Cheesew/o Mayo,830,52,47,53,1340,420,21,2,150,3,11,164,Whopper
8,TRIPLE WHOPPER® Sandwich,1020,58,65,57,1090,580,23,2,175,3,13,139,Whopper
9,TRIPLE WHOPPER® Sandwich w/o Mayo,870,58,47,57,950,420,20,2,165,3,13,122,Whopper
10,Texas DOUBLE WHOPPER® Sandwich,1000,52,66,55,1860,590,24,2,155,3,11,222,Whopper
11,WHOPPER JR.® Sandwich,340,14,19,28,510,170,5,0,40,2,6,64,Whopper
12,WHOPPER JR.® Sandwich w/o Mayo,260,13,10,28,440,90,4,0,35,2,6,56,Whopper
13,WHOPPER JR.® Sandwich with Cheese,380,16,23,29,730,210,8,1,55,2,6,89,Whopper
14,WHOPPER JR.® Sandwich with Cheese w/o Mayo,300,16,14,660,710,130,6,0,45,1,6,248,Whopper
15,Hamburger,240,12,8,31,460,70,4,0,30,1,7,59,Burgers
16,Cheeseburger,280,15,12,32,690,100,6,0,40,1,7,84,Burgers
17,Double Hamburger,330,19,15,31,490,130,6,0,60,1,7,63,Burgers
18,Double Cheeseburger,370,22,18,32,720,170,9,1,70,1,7,88,Burgers
19,BK® Bacon Burger,320,14,17,31,500,150,5,0,40,1,7,64,Burgers
20,Bacon Cheeseburger,310,17,14,32,770,130,6,0,45,1,7,93,Burgers
21,Double Bacon Cheeseburger,440,26,24,32,940,220,10,1,85,1,7,113,Burgers
22,BK® Single Stacker,370,16,21,32,690,190,8,0,50,1,7,85,Burgers
23,BK® Double Stacker,490,26,30,32,820,270,11,1,90,1,7,100,Burgers
24,BK® Triple Stacker,630,36,41,32,1040,360,17,1,130,1,7,125,Burgers
25,BK® Quad Stacker,760,46,51,33,1270,460,22,2,170,1,8,151,Burgers
26,Premium Chicken Sandwich- Grilled,510,31,22,43,1350,200,4,0,80,2,6,160,Chicken & Fish
27,Premium Chicken Sandwich- Grilled w/o Mayo,400,31,11,43,1260,100,2,0,70,2,5,149,Chicken & Fish
28,Premium Chicken Sandwich- Crispy,750,30,45,58,1560,400,8,1,70,3,8,189,Chicken & Fish
29,Premium Chicken Sandwich- Crispy w/o Mayo,540,29,21,57,1370,190,4,0,55,3,8,166,Chicken & Fish
30,Original Chicken Sandwich,630,24,39,46,1390,350,7,1,65,3,4,166,Chicken & Fish
31,Original Chicken Sandwich w/o Mayo,420,24,16,46,1210,140,4,0,45,3,4,145,Chicken & Fish
32,Chicken Crisp Sandwich- classic,500,17,32,39,860,290,6,2,45,2,5,106,Chicken & Fish
33,Chicken Crisp Sandwich- Spicy,480,17,27,40,930,240,5,1,45,2,6,114,Chicken & Fish
34,Home-style Chicken Strips- 2pc,240,9,13,23,940,110,3,0,20,0,0,109,Chicken & Fish
35,Home-style Chicken Strips- 3pc,360,14,19,34,1400,170,4,0,30,1,0,162,Chicken & Fish
36,Home-style Chicken Strips- 5pc,610,23,32,57,2340,280,6,1,50,1,1,272,Chicken & Fish
37,Chicken Nuggets (4 pc),190,10,11,10,310,100,2,0,25,1,0,37,Chicken & Fish
38,Chicken Nuggets (6 pc),290,15,17,15,460,150,3,0,40,1,0,55,Chicken & Fish
39,Chicken Nuggets (8 pc),380,20,22,20,610,200,5,0,50,2,0,73,Chicken & Fish
40,Chicken Nuggets (20 pc),950,51,55,50,1530,500,11,0,130,5,0,184,Chicken & Fish
41,Tacos (2),390,14,16,18,710,140,7,1,30,5,4,83,Chicken & Fish
42,Country Pork Sandwich,810,29,42,78,1910,380,13,0,75,4,10,232,Chicken & Fish
43,Premium Alaskan Fish Sandwich,590,21,31,57,1480,280,5,0,45,3,8,178,Chicken & Fish
44,Premium Alaskan Fish Sandwich w/o Tartar Sauce,410,21,12,53,1240,110,2,0,30,3,6,150,Chicken & Fish
45,BK VEGGIE® Burger ,410,22,16,44,1030,150,3,0,5,7,8,125,Chicken & Fish
46,BK VEGGIE® Burger w/ Cheese,450,24,20,44,1250,180,5,0,20,7,8,149,Chicken & Fish
47,BK VEGGIE® Burger w/o Mayo,320,22,7,43,960,70,1,0,0,7,8,116,Chicken & Fish
48,Apple Slices,25,0,0,6,0,0,0,0,0,1,5,2,Chicken & Fish
49,Onion Rings – value,150,1,8,19,400,70,2,0,0,1,2,49,Snacks & Sides
50,Onion Rings – small,320,3,16,41,840,150,3,0,0,3,4,103,Snacks & Sides
51,Onion Rings – medium,410,4,21,53,1080,190,4,0,0,4,5,133,Snacks & Sides
52,Onion Rings – large,500,5,25,64,1310,230,5,0,0,5,7,161,Snacks & Sides
53,French Fries – value (Salted),240,2,10,34,330,90,2,0,0,3,0,45,Snacks & Sides
54,French Fries – small (Salted),340,4,15,49,480,130,3,0,0,4,0,66,Snacks & Sides
55,French Fries – medium (Salted),410,4,18,58,570,160,3,0,0,4,0,78,Snacks & Sides
56,French Fries – large (Salted),500,5,22,72,710,200,4,0,0,5,0,98,Snacks & Sides
57,Mozzarella Sticks (4 pc),280,11,15,24,650,140,5,0,35,2,2,78,Snacks & Sides
58,Chicken Caesar Garden Fresh Salad with TENDERGRILL and dressing,530,35,32,26,1640,290,5,0,95,3,6,188,Salads
59,Chicken Caesar Garden Fresh Salad with TENDERCRISP and dressing,670,34,43,40,1760,380,7,0,80,5,8,206,Salads
60,Side Caesar Salad and dressing,220,6,20,7,540,180,4,0,10,2,3,62,Salads
61,Chicken BLT Garden Fresh Salad with TENDERGRILL and dressing,550,36,37,17,1640,330,10,0,115,3,5,186,Salads
62,Chicken BLT Garden Fresh Salad with TENDERCRISP and dressing,690,35,48,31,1750,430,12,1,100,4,8,203,Salads
63,Chicken Apple & Cranberry Garden Fresh Salad with TENDERGRILL and dressing,560,29,30,40,980,270,7,0,90,4,34,120,Salads
64,Chicken Apple & Cranberry Garden Fresh Salad with TENDERCRISP and dressing,700,28,41,54,1090,370,9,0,80,5,37,137,Salads
65,Side Garden Salad and Avocado Ranch Dressing,230,5,21,7,520,190,5,0,30,2,3,60,Salads
66,Ranch Crispy Chicken Wrap,370,14,23,29,1010,210,6,1,35,2,1,119,Salads
67,Ranch Grilled Chicken Wrap,350,19,18,24,1020,170,5,0,55,1,1,119,Salads
