,Item Name,Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
0,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
1,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
2,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
3,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
4,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
5,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
6,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
7,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
8,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
9,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
10,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
11,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
12,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
13,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
14,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
15,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
16,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
17,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork,Beef & Pork
