,Category,Item Name,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
0,Desserts,Cinnamon Melts,460,170,19.0,9.0,0.0,15,370,66,3,32,6,4,0,6,15
1,Desserts,Fruit & Maple Oatmeal,290,35,4.0,1.5,0.0,5,160,58,5,32,5,2,130,10,10
2,Desserts,Fruit & Maple Oatmeal without Brown Sugar,260,40,4.0,1.5,0.0,5,115,49,5,18,5,2,130,6,10
3,Beef & Pork,Big Mac,530,240,27.0,10.0,1.0,85,960,47,3,9,24,6,2,25,25
4,Beef & Pork,Quarter Pounder with Cheese,520,240,26.0,12.0,1.5,95,1100,41,3,10,30,10,2,30,25
5,Beef & Pork,Quarter Pounder with Bacon & Cheese,600,260,29.0,13.0,1.5,105,1440,48,3,12,37,6,15,25,30
6,Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,610,280,31.0,13.0,1.5,105,1180,46,3,10,37,8,20,25,30
7,Beef & Pork,Quarter Pounder Deluxe,540,250,27.0,11.0,1.5,85,960,45,3,9,29,10,8,25,30
8,Beef & Pork,Double Quarter Pounder with Cheese,750,380,43.0,19.0,2.5,160,1280,42,3,10,48,10,2,30,35
9,Beef & Pork,Hamburger,240,70,8.0,3.0,0.0,30,480,32,1,6,12,2,2,10,15
10,Beef & Pork,Cheeseburger,290,100,11.0,5.0,0.5,45,680,33,2,7,15,6,2,20,15
11,Beef & Pork,Double Cheeseburger,430,190,21.0,10.0,1.0,90,1040,35,2,7,24,10,2,30,20
12,Beef & Pork,Bacon Clubhouse Burger,720,360,40.0,15.0,1.5,115,1470,51,4,14,39,8,25,30,25
13,Beef & Pork,McDouble,380,150,17.0,8.0,1.0,75,840,34,2,7,22,6,2,20,20
14,Beef & Pork,Bacon McDouble,440,200,22.0,10.0,1.0,90,1110,35,2,7,27,6,10,20,20
15,Beef & Pork,Daily Double,430,200,22.0,9.0,1.0,80,760,34,2,7,22,8,8,20,20
16,Beef & Pork,Jalapeño Double,430,210,23.0,9.0,1.0,80,1030,35,2,6,22,6,8,20,20
17,Beef & Pork,McRib,500,240,26.0,10.0,0.0,70,980,44,3,11,22,2,2,15,20
18,Chicken & Fish,Premium Crispy Chicken Classic Sandwich,510,200,22.0,3.5,0.0,45,990,55,3,10,24,4,6,15,20
19,Chicken & Fish,Premium Grilled Chicken Classic Sandwich,350,80,9.0,2.0,0.0,65,820,42,3,8,28,4,8,15,20
20,Chicken & Fish,Premium Crispy Chicken Club Sandwich,670,300,33.0,9.0,0.0,85,1410,58,3,11,36,8,20,30,20
21,Chicken & Fish,Premium Grilled Chicken Club Sandwich,510,180,20.0,7.0,0.0,105,1250,44,3,9,40,8,20,30,20
22,Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,610,250,28.0,6.0,0.0,70,1400,57,3,11,32,4,20,15,20
23,Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,450,130,15.0,4.5,0.0,90,1230,43,3,9,36,4,20,15,20
24,Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,750,340,38.0,10.0,0.5,90,1720,65,4,16,36,8,25,30,15
25,Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,590,230,25.0,8.0,0.0,110,1560,51,4,14,40,8,30,30,15
26,Chicken & Fish,Southern Style Crispy Chicken Sandwich,430,170,19.0,3.0,0.0,45,910,43,2,7,21,4,2,15,15
27,Chicken & Fish,McChicken,360,140,16.0,3.0,0.0,35,800,40,2,5,14,0,2,10,15
28,Chicken & Fish,Bacon Cheddar McChicken,480,220,24.0,7.0,0.0,65,1260,43,2,6,22,4,10,20,15
29,Chicken & Fish,Bacon Buffalo Ranch McChicken,430,190,21.0,5.0,0.0,50,1260,41,2,6,20,2,10,15,15
30,Chicken & Fish,Buffalo Ranch McChicken,360,150,16.0,3.0,0.0,35,990,40,2,5,14,2,2,15,15
31,Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),630,280,32.0,9.0,0.5,80,1540,56,3,7,32,60,20,20,20
32,Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),480,170,19.0,7.0,0.0,95,1370,42,3,6,36,60,25,20,20
33,Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),610,280,31.0,8.0,0.5,65,1340,56,3,8,27,60,15,20,20
34,Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),450,160,18.0,6.0,0.5,80,1170,42,3,6,30,60,15,15,20
35,Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),670,300,33.0,8.0,0.5,60,1480,68,5,12,27,60,15,20,20
36,Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),520,180,20.0,6.0,0.0,80,1320,55,5,10,31,70,15,20,20
37,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),540,200,23.0,4.5,0.0,50,1260,61,3,14,23,60,15,8,20
38,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),380,90,10.0,3.0,0.0,65,1090,47,3,12,27,60,15,8,20
39,Snacks & Sides,Chicken McNuggets (4 piece),190,110,12.0,2.0,0.0,25,360,12,1,0,9,0,2,0,2
40,Snacks & Sides,Chicken McNuggets (6 piece),280,160,18.0,3.0,0.0,40,540,18,1,0,13,0,2,2,4
41,Snacks & Sides,Chicken McNuggets (10 piece),470,270,30.0,5.0,0.0,65,900,30,2,0,22,0,4,2,6
42,Snacks & Sides,Chicken McNuggets (20 piece),940,530,59.0,10.0,0.0,135,1800,59,3,0,44,0,8,4,10
43,Snacks & Sides,Chicken McNuggets (40 piece),1880,1060,118.0,20.0,1.0,265,3600,118,6,1,87,0,15,8,25
44,Chicken & Fish,Filet-O-Fish,390,170,19.0,4.0,0.0,40,590,39,2,5,15,2,0,15,10
45,Salads,Premium Bacon Ranch Salad (without Chicken),140,70,7.0,3.5,0.0,25,300,10,3,4,9,170,30,15,6
46,Salads,Premium Bacon Ranch Salad with Crispy Chicken,380,190,21.0,6.0,0.0,70,860,22,2,5,25,100,25,15,8
47,Salads,Premium Bacon Ranch Salad with Grilled Chicken,220,80,8.0,4.0,0.0,85,690,8,2,4,29,110,30,15,8
48,Salads,Premium Southwest Salad (without Chicken),140,40,4.5,2.0,0.0,10,150,20,6,6,6,160,25,15,10
49,Salads,Premium Southwest Salad with Crispy Chicken,450,190,22.0,4.5,0.0,50,850,42,7,12,23,170,30,15,15
50,Salads,Premium Southwest Salad with Grilled Chicken,290,80,8.0,2.5,0.0,70,680,28,7,10,27,170,30,15,15
51,Chicken & Fish,Chipotle BBQ Snack Wrap (Crispy Chicken),340,130,15.0,4.5,0.0,30,780,37,1,8,14,4,0,10,10
52,Chicken & Fish,Chipotle BBQ Snack Wrap (Grilled Chicken),260,70,8.0,3.5,0.0,40,700,30,1,7,16,4,2,10,10
53,Chicken & Fish,Honey Mustard Snack Wrap (Crispy Chicken),330,130,15.0,4.5,0.0,35,730,34,1,3,14,2,0,10,10
54,Chicken & Fish,Honey Mustard Snack Wrap (Grilled Chicken),250,70,8.0,3.5,0.0,45,650,27,1,2,16,2,2,10,10
55,Chicken & Fish,Ranch Snack Wrap (Crispy Chicken),360,180,20.0,5.0,0.0,40,810,32,1,3,15,2,0,10,10
56,Chicken & Fish,Ranch Snack Wrap (Grilled Chicken),280,120,13.0,4.5,0.0,45,720,25,1,2,16,2,2,10,10
57,Snacks & Sides,Small French Fries,230,100,11.0,1.5,0.0,0,130,30,2,0,2,0,30,0,4
58,Snacks & Sides,Medium French Fries,340,140,16.0,2.5,0.0,0,190,44,4,0,4,0,45,2,4
59,Snacks & Sides,Large French Fries,510,220,24.0,3.5,0.0,0,290,67,5,0,6,0,70,2,8
60,Snacks & Sides,Kids French Fries,110,50,5.0,1.0,0.0,0,65,15,1,0,1,0,15,0,2
61,Salads,Side Salad,20,0,0.0,0.0,0.0,0,10,4,1,2,1,45,25,2,4
62,Desserts,Apple Slices,15,0,0.0,0.0,0.0,0,0,4,0,3,0,0,160,2,0
63,Desserts,Fruit 'n Yogurt Parfait,150,20,2.0,1.0,0.0,5,70,30,1,23,4,2,15,10,4
64,Desserts,Baked Apple Pie,250,110,13.0,7.0,0.0,0,170,32,4,13,2,4,25,2,6
65,Desserts,Chocolate Chip Cookie,160,70,8.0,3.5,0.0,10,90,21,1,15,2,2,0,2,8
66,Desserts,Oatmeal Raisin Cookie,150,50,6.0,2.5,0.0,10,135,22,1,13,2,2,0,2,6
67,Desserts,Kids Ice Cream Cone,45,10,1.5,1.0,0.0,5,20,7,0,6,1,2,0,4,0
68,Desserts,Hot Fudge Sundae,330,80,9.0,7.0,0.0,25,170,53,1,48,8,8,0,25,8
69,Desserts,Hot Caramel Sundae,340,70,8.0,5.0,0.0,30,150,60,0,43,7,10,0,25,0
70,Desserts,Strawberry Sundae,280,60,6.0,4.0,0.0,25,85,49,0,45,6,8,4,20,0
71,Beverages,Coca-Cola Classic (Small),140,0,0.0,0.0,0.0,0,0,39,0,39,0,0,0,0,0
72,Beverages,Coca-Cola Classic (Medium),200,0,0.0,0.0,0.0,0,5,55,0,55,0,0,0,0,0
73,Beverages,Coca-Cola Classic (Large),280,0,0.0,0.0,0.0,0,5,76,0,76,0,0,0,0,0
74,Beverages,Coca-Cola Classic (Child),100,0,0.0,0.0,0.0,0,0,28,0,28,0,0,0,0,0
75,Beverages,Diet Coke (Small),0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
76,Beverages,Diet Coke (Medium),0,0,0.0,0.0,0.0,0,20,0,0,0,0,0,0,0,0
77,Beverages,Diet Coke (Large),0,0,0.0,0.0,0.0,0,35,0,0,0,0,0,0,0,0
78,Beverages,Diet Coke (Child),0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0
79,Beverages,Dr Pepper (Small),140,0,0.0,0.0,0.0,0,45,37,0,35,0,0,0,0,0
80,Beverages,Dr Pepper (Medium),190,0,0.0,0.0,0.0,0,65,53,0,51,0,0,0,0,0
81,Beverages,Dr Pepper (Large),270,0,0.0,0.0,0.0,0,90,72,0,70,0,0,0,0,0
82,Beverages,Dr Pepper (Child),100,0,0.0,0.0,0.0,0,30,27,0,26,0,0,0,0,0
83,Beverages,Diet Dr Pepper (Small),0,0,0.0,0.0,0.0,0,70,0,0,0,2,0,0,0,0
84,Beverages,Diet Dr Pepper (Medium),0,0,0.0,0.0,0.0,0,100,0,0,0,3,0,0,0,0
85,Beverages,Diet Dr Pepper (Large),0,0,0.0,0.0,0.0,0,140,0,0,0,4,0,0,0,0
86,Beverages,Diet Dr Pepper (Child),0,0,0.0,0.0,0.0,0,50,0,0,0,1,0,0,0,0
87,Beverages,Sprite (Small),140,0,0.0,0.0,0.0,0,30,37,0,37,0,0,0,0,0
88,Beverages,Sprite (Medium),200,0,0.0,0.0,0.0,0,45,54,0,54,0,0,0,0,0
89,Beverages,Sprite (Large),280,0,0.0,0.0,0.0,0,60,74,0,74,0,0,0,0,0
90,Beverages,Sprite (Child),100,0,0.0,0.0,0.0,0,25,27,0,27,0,0,0,0,0
91,Beverages,1% Low Fat Milk Jug,100,20,2.5,1.5,0.0,10,125,12,0,12,8,10,4,30,0
92,Beverages,Fat Free Chocolate Milk Jug,130,0,0.0,0.0,0.0,5,135,23,1,22,9,10,0,30,8
93,Beverages,Minute Maid 100% Apple Juice Box,80,0,0.0,0.0,0.0,0,15,21,0,19,0,0,100,10,0
94,Beverages,Minute Maid Orange Juice (Small),150,0,0.0,0.0,0.0,0,0,34,0,30,2,0,130,2,0
95,Beverages,Minute Maid Orange Juice (Medium),190,0,0.0,0.0,0.0,0,0,44,0,39,3,0,160,4,0
96,Beverages,Minute Maid Orange Juice (Large),280,0,0.0,0.0,0.0,0,5,65,0,58,4,0,240,4,0
97,Beverages,Dasani Water Bottle,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
98,Beverages,Iced Tea (Small),0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
99,Beverages,Iced Tea (Medium),0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
100,Beverages,Iced Tea (Large),0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0
101,Beverages,Iced Tea (Child),0,0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0
102,Beverages,Sweet Tea (Small),150,0,0.0,0.0,0.0,0,10,36,0,36,1,0,0,0,0
103,Beverages,Sweet Tea (Medium),180,0,0.0,0.0,0.0,0,10,45,0,45,1,0,0,0,0
104,Beverages,Sweet Tea (Large),220,0,0.0,0.0,0.0,0,10,54,0,54,1,0,0,0,0
105,Beverages,Sweet Tea (Child),110,0,0.0,0.0,0.0,0,5,27,0,27,0,0,0,0,0
106,Beverages,Coffee (Small),0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
107,Beverages,Coffee (Medium),0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
108,Beverages,Coffee (Large),0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
109,Beverages,Latte (Small),170,80,9.0,5.0,0.0,25,115,15,1,12,9,8,0,30,0
110,Beverages,Latte (Medium),210,90,10.0,6.0,0.0,30,140,18,1,15,11,10,0,35,0
111,Beverages,Latte (Large),280,120,14.0,8.0,0.0,40,180,24,1,20,15,15,0,50,2
112,Beverages,Caramel Latte (Small),270,80,9.0,5.0,0.0,25,115,40,1,38,9,8,0,30,0
113,Beverages,Caramel Latte (Medium),340,90,10.0,6.0,0.0,30,140,50,1,48,11,10,0,35,0
114,Beverages,Caramel Latte (Large),430,120,14.0,8.0,0.0,40,180,62,1,59,15,15,0,50,2
115,Beverages,Hazelnut Latte (Small),270,80,9.0,5.0,0.0,25,115,40,1,38,9,8,0,30,0
116,Beverages,Hazelnut Latte (Medium),330,90,10.0,6.0,0.0,30,140,50,1,47,11,10,0,35,0
117,Beverages,Hazelnut Latte (Large),430,120,14.0,8.0,0.0,40,180,62,1,58,15,15,0,50,2
118,Beverages,French Vanilla Latte (Small),260,80,9.0,5.0,0.0,25,115,38,1,36,9,8,0,30,0
119,Beverages,French Vanilla Latte (Medium),330,90,10.0,6.0,0.0,30,140,48,1,45,11,10,0,35,2
120,Beverages,French Vanilla Latte (Large),420,120,14.0,8.0,0.0,40,190,60,1,56,15,15,0,50,2
121,Beverages,Latte with Sugar Free French Vanilla Syrup (Small),210,80,9.0,5.0,0.0,25,150,24,1,12,9,8,0,30,0
122,Beverages,Latte with Sugar Free French Vanilla Syrup (Medium),260,90,10.0,6.0,0.0,30,190,29,1,15,12,10,0,35,0
123,Beverages,Latte with Sugar Free French Vanilla Syrup (Large),330,120,14.0,8.0,0.0,40,240,37,2,20,15,15,0,50,2
124,Beverages,Nonfat Latte (Small),100,0,0.0,0.0,0.0,5,110,15,1,13,10,10,0,30,0
125,Beverages,Nonfat Latte (Medium),130,0,0.0,0.0,0.0,5,135,19,1,16,12,15,0,40,0
126,Beverages,Nonfat Latte (Large),170,0,0.5,0.0,0.0,10,180,25,1,21,16,15,0,50,2
127,Beverages,Nonfat Caramel Latte (Small),200,0,0.0,0.0,0.0,5,110,41,1,39,10,10,0,30,0
128,Beverages,Nonfat Caramel Latte (Medium),250,0,0.0,0.0,0.0,5,135,51,1,48,12,15,0,40,0
129,Beverages,Nonfat Caramel Latte (Large),310,0,0.5,0.0,0.0,10,180,63,1,59,16,15,0,50,2
130,Beverages,Nonfat Hazelnut Latte (Small),200,0,0.0,0.0,0.0,5,110,40,1,38,10,10,0,30,0
131,Beverages,Nonfat Hazelnut Latte (Medium),250,0,0.0,0.0,0.0,5,135,51,1,48,12,15,0,40,0
132,Beverages,Nonfat Hazelnut Latte (Large),310,0,0.5,0.0,0.0,10,180,63,1,59,16,15,0,50,2
133,Beverages,Nonfat French Vanilla Latte (Small),190,0,0.0,0.0,0.0,5,115,39,1,37,10,10,0,30,0
134,Beverages,Nonfat French Vanilla Latte (Medium),240,0,0.0,0.0,0.0,5,140,49,1,46,12,15,0,40,2
135,Beverages,Nonfat French Vanilla Latte (Large),300,0,0.5,0.0,0.0,10,180,60,1,56,16,15,0,50,2
136,Beverages,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0,0.0,0.0,0.0,5,150,24,1,13,10,10,0,30,0
137,Beverages,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0,0.0,0.0,0.0,5,180,30,1,16,12,15,0,40,0
138,Beverages,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0,0.5,0.0,0.0,10,240,38,2,21,16,15,0,50,2
139,Beverages,Mocha (Small),340,100,11.0,7.0,0.0,35,150,49,2,42,10,10,0,30,6
140,Beverages,Mocha (Medium),410,120,14.0,8.0,0.0,40,190,60,2,53,13,10,0,40,6
141,Beverages,Mocha (Large),500,150,17.0,10.0,0.5,50,240,72,2,63,16,15,0,50,8
142,Beverages,Mocha with Nonfat Milk (Small),270,30,3.5,2.0,0.0,15,150,49,2,43,11,10,0,35,6
143,Beverages,Mocha with Nonfat Milk (Medium),330,30,3.5,2.0,0.0,15,190,60,2,53,13,15,0,40,6
