,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
0,Cherry Limeade Sparkler,323,180,0,0.0,44,105,0,0.0,0.0,0,0,43,5,Beverages
1,Cherry Limeade Sparkler,493,270,0,0.0,66,160,0,0.0,0.0,0,0,65,7,Beverages
2,Classic Limeade Sparkler,493,230,0,0.0,60,125,0,0.0,0.0,0,0,59,7,Beverages
3,Classic Limeade Sparkler 16 oz,323,150,0,0.0,39,80,0,0.0,0.0,0,0,38,4,Beverages
4,Mtn Dew® Baja Blast Freeze,499,250,0,0.0,63,75,0,0.0,0.0,0,0,58,7,Beverages
5,Mtn Dew® Baja Blast Freeze 16 oz,403,200,0,0.0,51,60,0,0.0,0.0,0,0,47,6,Beverages
6,Orange Juice,296,140,2,0.0,33,20,0,0.0,0.0,0,0,28,4,Beverages
7,Pink Lemonade Freeze,499,270,0,0.0,67,5,0,0.0,0.0,0,0,65,7,Beverages
8,Pink Lemonade Freeze 16 oz,403,220,0,0.0,54,5,0,0.0,0.0,0,0,53,6,Beverages
9,Piña Colada Freeze,499,240,0,0.0,60,20,0,0.0,0.0,0,0,53,7,Beverages
10,Piña Colada Freeze 16oz,403,190,0,0.0,48,15,0,0.0,0.0,0,0,43,5,Beverages
11,Diet Pepsi 16 oz,454,0,0,0.0,0,50,0,0.0,0.0,0,0,0,0,Beverages
12,Diet Pepsi 20 oz,567,0,0,0.0,0,65,0,0.0,0.0,0,0,0,0,Beverages
13,Diet Pepsi 30 oz,851,0,0,0.0,0,95,0,0.0,0.0,0,0,0,0,Beverages
14,Diet Pepsi 40 oz,1134,0,0,0.0,0,125,0,0.0,0.0,0,0,0,0,Beverages
15,Dr Pepper 16 oz,454,200,0,0.0,54,70,0,0.0,0.0,0,0,54,6,Beverages
16,Dr Pepper 20 oz,567,250,0,0.0,68,90,0,0.0,0.0,0,0,68,7,Beverages
17,Dr Pepper 30 oz,851,380,0,0.0,102,130,0,0.0,0.0,0,0,102,11,Beverages
18,Dr Pepper 40 oz,1134,500,0,0.0,135,180,0,0.0,0.0,0,0,135,15,Beverages
19,Lipton Raspberry Iced Tea 16 oz,454,160,0,0.0,42,50,0,0.0,0.0,0,0,42,5,Beverages
20,Lipton Raspberry Iced Tea 20 oz,567,200,0,0.0,53,65,0,0.0,0.0,0,0,53,6,Beverages
21,Lipton Raspberry Iced Tea 30 oz,851,300,0,0.0,79,95,0,0.0,0.0,0,0,79,9,Beverages
22,Lipton Raspberry Iced Tea 40 oz,1134,400,0,0.0,105,125,0,0.0,0.0,0,0,105,11,Beverages
23,MTN DEW A.M. 16 oz,350,160,1,0.0,42,45,0,0.0,0.0,0,0,40,5,Beverages
