,Category,Item Name,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
0,Breakfast,Egg McMuffin,300,120,13.0,5.0,0.0,260,750,31,4,3,17,10,0,25,15
1,Breakfast,Egg White Delight,250,70,8.0,3.0,0.0,25,770,30,4,3,18,6,0,25,8
2,Breakfast,Sausage McMuffin,370,200,23.0,8.0,0.0,45,780,29,4,2,14,8,0,25,10
3,Breakfast,Sausage McMuffin with Egg,450,250,28.0,10.0,0.0,285,860,30,4,2,21,15,0,30,15
4,Breakfast,Sausage McMuffin with Egg Whites,400,210,23.0,8.0,0.0,50,880,30,4,2,21,6,0,25,10
5,Breakfast,Steak & Egg McMuffin,430,210,23.0,9.0,1.0,300,960,31,4,3,26,15,2,30,20
6,Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,230,26.0,13.0,0.0,250,1300,38,2,3,19,10,8,15,15
7,Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,270,30.0,14.0,0.0,250,1410,43,3,4,19,15,8,20,20
8,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",410,180,20.0,11.0,0.0,35,1300,36,2,3,20,2,8,15,10
9,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",470,220,25.0,12.0,0.0,35,1420,42,3,4,20,6,8,15,15
10,Breakfast,Sausage Biscuit (Regular Biscuit),430,240,27.0,12.0,0.0,30,1080,34,2,2,11,0,0,6,15
11,Breakfast,Sausage Biscuit (Large Biscuit),480,280,31.0,13.0,0.0,30,1190,39,3,3,11,4,0,8,15
12,Breakfast,Sausage Biscuit with Egg (Regular Biscuit),510,290,33.0,14.0,0.0,250,1170,36,2,2,18,6,0,10,20
13,Breakfast,Sausage Biscuit with Egg (Large Biscuit),570,330,37.0,15.0,0.0,250,1280,42,3,3,18,10,0,10,20
14,Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),460,250,27.0,12.0,0.0,35,1180,34,2,3,18,0,0,8,15
15,Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),520,280,32.0,13.0,0.0,35,1290,40,3,3,18,4,0,8,15
