,Item Name,Serving Size (G),Calories, Protein (g), Total Fat (g),Total Carbs (g),Sodium (mg),Calories from Fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Fiber (g),Sugars (g),Weight Watchers,Category
0,Cinnabon Delights – 4 Pack,57,260,3,15.0,28,130,130,3.5,0.0,10,1,16,7,Desserts
1,Bacon & Egg Burrito,153,440,20,24.0,37,990,210,8.0,0.0,195,3,3,12,Beef & Pork
2,Beefy 5-Layer Burrito,230,520,19,21.0,65,1280,190,8.0,0.0,30,8,5,14,Beef & Pork
3,Burrito Supreme® – Chicken,240,390,20,12.0,51,1080,110,5.0,0.0,40,6,4,11,Chicken & Fish
4,Burrito Supreme® – Steak,240,400,20,13.0,51,1050,120,5.0,0.0,35,7,5,11,Beef & Pork
5,Burrito Supreme® – Beef,240,420,17,16.0,52,1140,140,7.0,0.0,30,8,5,12,Beef & Pork
6,Cantina Burrito – Chicken,447,740,32,27.0,94,1920,240,6.0,0.0,60,12,7,20,Chicken & Fish
7,Cantina Burrito – Steak,447,760,33,28.0,95,1870,250,7.0,0.0,50,13,8,21,Beef & Pork
8,Cheesy Potato Burrito,237,520,18,25.0,57,1340,220,8.0,0.5,45,7,4,14,Beef & Pork
9,Chicken Burrito,169,410,16,18.0,46,960,160,4.5,0.0,30,3,3,11,Chicken & Fish
10,Chili Cheese Burrito,153,370,16,17.0,40,910,150,8.0,0.5,35,5,2,10,Beef & Pork
11,Combo Burrito,232,460,21,19.0,52,1380,170,7.0,0.5,40,9,3,13,Beef & Pork
12,Sausage & Egg Burrito,153,430,17,24.0,37,860,220,8.0,0.0,190,3,2,12,Beef & Pork
13,Smothered Burrito – Beef,387,710,28,35.0,70,2260,320,13.0,1.0,75,10,4,19,Beef & Pork
14,Smothered Burrito – Shredded Chicken,387,650,34,28.0,67,2230,250,10.0,0.0,70,8,4,18,Chicken & Fish
15,Smothered Burrito – Steak,387,670,35,29.0,68,2080,260,11.0,0.5,80,7,4,18,Beef & Pork
16,Steak & Egg Burrito,153,380,19,17.0,37,790,160,5.0,0.0,115,3,3,10,Beef & Pork
17,Volcano Burrito,298,780,23,41.0,79,1650,370,12.0,1.0,65,9,6,21,Beef & Pork
